objectid,title,creator,creator_link,date,description,subject,rating,location,country,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
cider0001,Lone Tree Ginger Apple,Lone Tree,https://www.lonetreecider.com/,2024-02-17,Canada's best cider in a can. Lone Tree's ginger cider gives a strong punch of ginger but with some of the sweetness of the apple underneath to just balance it out.,ginger; semi-dry; can,5,"Vancouver, BC, Canada",Canada,49.28212399,-123.1256245,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0001.jpg,/objects/small/cider0001_sm.jpg,/objects/thumbs/cider0001_th.jpg,,
cider0002,Lone Tree Dry,Lone Tree,https://www.lonetreecider.com/,2024-02-17,Drinkable but extremely dry and hard to detect the flavor.,dry; can,2,"Vancouver, BC, Canada",Canada,49.28212399,-123.1256245,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0002.jpg,/objects/small/cider0002_sm.jpg,/objects/thumbs/cider0002_th.jpg,,
cider0003,Rock Creek Dry,Rock Creek,https://rockcreekcider.ca/,2024-02-22,A very good dry cider.,dry; can,4,"Calgary, AB, Canada",Canada,50.98501527,-113.9558495,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0003.jpg,/objects/small/cider0003_sm.jpg,/objects/thumbs/cider0003_th.jpg,,
cider0004,Creek and Gully Apricot Dry,Creek and Gully,https://creekandgully.com/,2024-02-23,"A decent cider but the apricot isn't noticeable enough, and a little drier than preferred.",apricot; dry; can,3,"Penticton, BC, Canada",Canada,49.55539997,-119.5600782,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0004.jpg,/objects/small/cider0004_sm.jpg,/objects/thumbs/cider0004_th.jpg,,
cider0005,Bramble Bubbly,Sea Cider,https://www.seacider.ca/,2024-03-09,A lovely sweet berry cider.,blackberry; semi-dry; bottle,4,"Saanichton, BC, Canada",,48.60377101,-123.3968143,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0005.jpg,/objects/small/cider0005_sm.jpg,/objects/thumbs/cider0005_th.jpg,,
cider0006,Salt Spring Wild Maple Bourbon Apricot,Salt Spring Wild,https://saltspringwildcider.com/,2024-03-09,A surprising combination of flavors that bring sweetness but also a little bitterness.,bourbon; apricot; semi-dry; bottle,3,"Salt Spring Island, BC, Canada",Canada,48.86455345,-123.5208888,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0006.jpg,/objects/small/cider0006_sm.jpg,/objects/thumbs/cider0006_th.jpg,,
cider0007,No Boats on Sunday Original Cider,No Boats on Sunday,https://www.noboatscider.com/,2024-04-05,A solid basic apple cider. The cidery creates different versions of each of their products with apples from the region of Canada where it is sold. This one was made with apples from British Columbia.,can,3,"BC, Canada",Canada,54.57525351,-124.6692495,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0007.jpg,/objects/small/cider0007_sm.jpg,/objects/thumbs/cider0007_th.jpg,,
cider0008,Cherry Lane,Sea Cider,https://www.seacider.ca/,2024-04-06,An excellent cherry flavor.,cherry; semi-dry; bottle,4,"Saanichton, BC, Canada",,48.60377101,-123.3968143,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0008.jpg,/objects/small/cider0008_sm.jpg,/objects/thumbs/cider0008_th.jpg,,
cider0009,Kings and Spies,Sea Cider,https://www.seacider.ca/,2024-04-13,"A solid ""off-dry"" cider, about as good as dry ciders get for me.",dry; bottle,3,"Saanichton, BC, Canada",,48.60377101,-123.3968143,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0009.jpg,/objects/small/cider0009_sm.jpg,/objects/thumbs/cider0009_th.jpg,,
cider0010,Local Legend,Schilling Cider House,https://schillingcider.com/,2024-04-18,An apple cider served aboard the ferry between Victoria and Seattle.,can; semi-dry,3,"Seattle, WA, USA",USA,47.64979511,-122.3492168,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0010.jpg,/objects/small/cider0010_sm.jpg,/objects/thumbs/cider0010_th.jpg,,
cider0011,"Sparkling White Currant, Apple & Honey Cider",La Petite Abeille,https://lpacider.com/,2024-04-27,"A very good ""off-dry"" cider with alot of little different flavors filling it out.",white currants; honey; sparkling; dry; bottle,4,"Penticton, BC, Canada",Canada,49.54219857,-119.5679055,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0011.jpg,/objects/small/cider0011_sm.jpg,/objects/thumbs/cider0011_th.jpg,,
cider0012,Ch-Ch-Ch-Cherry Bomb,Valley Cider Company,https://www.valleycider.com/,2024-05-04,"Valley Ciders tend to be blends with other things, but they do it much better than some others, and this is a solid cherry cider.",cherry; dry; can; blends,3,"Duncan, BC, Canada",Canada,48.8371702,-123.7088539,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0012.jpg,/objects/small/cider0012_sm.jpg,/objects/thumbs/cider0012_th.jpg,,
cider0013,Merri Berry,Merridale,https://merridale.ca/,2024-05-04,Berry flavors in cider for me? Don't mind if I do.,black currant; cherry; raspberry; can; sweet,4,"Cobble Hill, BC, Canada",Canada,48.66459176,-123.5868799,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0013.jpg,/objects/small/cider0013_sm.jpg,/objects/thumbs/cider0013_th.jpg,,
cider0014,Persephone Brewing Company Rhubarb Ginger,Persephone Brewing Company,https://www.persephonebrewing.com/,2024-06-08,The rhubarb and ginger are both a little too sublte but a solid mostly dry cider.,rhubarb; ginger; honey; dry; can,3,"Gibsons, BC, Canada",Canada,49.42111866,-123.5079524,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0014.jpg,/objects/small/cider0014_sm.jpg,/objects/thumbs/cider0014_th.jpg,,
cider0015,Lone Tree Mimosa Cider Cocktail,Lone Tree,https://www.lonetreecider.com/,2024-06-12,"It is a blend so takes a hit for that, but I will grant it does bring the mimosa flavor profile. It says dry on the can but I would call it sweet personally.",mimosa; blend; dry; can,2,"Vancouver, BC, Canada",Canada,49.28212399,-123.1256245,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0015.jpg,/objects/small/cider0015_sm.jpg,/objects/thumbs/cider0015_th.jpg,,
cider0016,Lone Tree Rhubarb,Lone Tree,https://www.lonetreecider.com/,2024-06-12,A decent rhubarb cider but not bringin the rhubarb as strongly as they do the ginger.,rhubarb; dry; can,3,"Vancouver, BC, Canada",Canada,49.28212399,-123.1256245,,,,,eng,,,record,,,,,
cider0017,Okanagan Black Cherry,Okanagan Cider and Beverage Company,,2024-03,"Like others of the brand, this is more a cider-flavored vodka cocktail when you look at the ingredients. Too sweet.",black cherry; sweet; can; blends,1,"BC, Canada",Canada,54.57525351,-124.6692495,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0017.jpg,/objects/small/cider0017_sm.jpg,/objects/thumbs/cider0017_th.jpg,,
cider0018,Okanagan Ginger Apple,Okanagan Cider and Beverage Company,,2024-03,"Like others of the brand, this is more a cider-flavored vodka cocktail when you look at the ingredients. Too sweet.",ginger; sweet; can; blends,1,"BC, Canada",Canada,54.57525351,-124.6692495,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0018.jpg,/objects/small/cider0018_sm.jpg,/objects/thumbs/cider0018_th.jpg,,
cider0019,Okanagan Harvest Pear,Okanagan Cider and Beverage Company,,2024-03,"Like others of the brand, this is more a cider-flavored vodka cocktail when you look at the ingredients. Too sweet.",pear; sweet; can; blends,1,"BC, Canada",Canada,54.57525351,-124.6692495,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0019.jpg,/objects/small/cider0019_sm.jpg,/objects/thumbs/cider0019_th.jpg,,
cider0020,Okanagan Crisp Apple,Okanagan Cider and Beverage Company,,2024-03,"Like others of the brand, this is more a cider-flavored vodka cocktail when you look at the ingredients. It is too sweet, although the fact that apple is the only flavor makes it a little better because the excessive sweetness doesn't drag the apple down as much as the other flavors.",sweet; can; blends,2,"BC, Canada",Canada,54.57525351,-124.6692495,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0020.jpg,/objects/small/cider0020_sm.jpg,/objects/thumbs/cider0020_th.jpg,,
cider0021,Salt Spring Wild Ginger Root,Salt Spring Wild,https://saltspringwildcider.com/,2024-04-06,An excellent ginger cider with a punch only excelled by Lone Tree's ginger cider.,ginger; bottle; semi-dry,4,"Salt Spring Island, BC, Canada",Canada,48.86455345,-123.5208888,Personal Photo,,Image;StillImage,image/jpg,eng,Photo Copyright Daniel Tracy,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cider0021.jpg,/objects/small/cider0021_sm.jpg,/objects/thumbs/cider0021_th.jpg,,
cider0022,Merridale Traditional,Merridale,https://merridale.ca/,2024-03,"This was a weird one. The waitress was confused when she brought it to me because she thought it smelled like beer, and in fact it had a distinct beer/hops flavor to it, while also being far too sweet for beer. Quite possibly someone didn't clean the tap so I treat this rating as quesitonable.",dry; tap,2,"Cobble Hill, BC, Canada",Canada,48.66459176,-123.5868799,,,,,eng,,,record,,,,,
cider0023,Mo-Morro,Merridale,https://merridale.ca/,2024-05,Dry but with blood orange juice mixed in which gave a nice flavor.,dry; tap; blood orange,4,"Cobble Hill, BC, Canada",Canada,48.66459176,-123.5868799,,,,,eng,,,record,,,,,
cider0024,Merridale Ginger,Merridale,https://merridale.ca/,2024-05,Solid ginger flavor.,dry; tap; ginger,4,"Cobble Hill, BC, Canada",Canada,48.66459176,-123.5868799,,,,,eng,,,record,,,,,